source,subdomain,request,browser,ip,referer,ts,os,mobile,user_agent
logs_wb01_20171018-access.log,admissions,/checklist-faq,Chrome,24.16.158.249,www.google.com,2017-10-18T04:00:08+00:00,Windows,0,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
logs_wb01_20171018-access.log,library,/use/technology/vpn,Facebook,68.185.69.47,m.facebook.com,2017-10-18T04:00:18+00:00,Android,1,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG-SM-G935A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/61.0.3163.98 Mobile Safari/537.36 [FB_IAB/MESSENGER;FBAV/139.0.0.17.85;]"
logs_wb01_20171018-access.log,library,/,Safari,169.236.78.23,www.google.com,2017-10-18T04:00:28+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"
logs_wb01_20171018-access.log,www,/,UptimeRobot,69.162.124.227,www.ucmerced.edu,2017-10-18T04:00:44+00:00,Other,0,"Mozilla/5.0+(compatible; UptimeRobot/2.0; http://www.uptimerobot.com/)"
logs_wb01_20171018-access.log,health,/,IE,80.40.134.103,health.ucmerced.edu,2017-10-18T04:00:46+00:00,Windows,0,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2)"
logs_wb01_20171018-access.log,housing,/housing/valley-terraces,Safari,67.181.130.139,www.google.com,2017-10-18T04:00:48+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"
logs_wb01_20171018-access.log,housing,/sites/housing.ucmerced.edu/files/documents/map_of_valley_terraces3.pdf,Safari,67.181.130.139,housing.ucmerced.edu,2017-10-18T04:00:59+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"
logs_wb01_20171018-access.log,www,/content/clarissa-j-nobile,Chrome,98.242.48.75,www.google.com,2017-10-18T04:01:02+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
logs_wb01_20171018-access.log,registrar,/policies/grades,Safari,169.236.46.143,www.google.com,2017-10-18T04:01:11+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8"
logs_wb01_20171018-access.log,housing,/sites/housing.ucmerced.edu/files/page/documents/kern_-_second.pdf,Safari,67.181.130.139,housing.ucmerced.edu,2017-10-18T04:01:15+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"
logs_wb01_20171018-access.log,library,/books,Safari,169.236.78.23,library.ucmerced.edu,2017-10-18T04:01:25+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"
logs_wb01_20171018-access.log,cattracks,/sites/cattracks.ucmerced.edu/files/documents/fastcat_fall_2017_final.pdf,Chrome,169.236.78.21,www.google.com,2017-10-18T04:01:30+00:00,"Chrome OS",0,"Mozilla/5.0 (X11; CrOS x86_64 9765.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.120 Safari/537.36"
logs_wb01_20171018-access.log,homecoming,/form/uc-merced-homecoming,Facebook,172.112.61.109,m.facebook.com,2017-10-18T04:01:31+00:00,Android,1,"Mozilla/5.0 (Linux; Android 7.0; SM-G930T Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/61.0.3163.98 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/145.0.0.37.86;]"
logs_wb01_20171018-access.log,www,/,Chrome,162.228.176.239,www.google.com,2017-10-18T04:01:38+00:00,"Chrome OS",0,"Mozilla/5.0 (X11; CrOS armv7l 9592.96.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.114 Safari/537.36"
logs_wb01_20171018-access.log,chancellor,/,Chrome,124.232.148.7,chancellor.ucmerced.edu,2017-10-18T04:01:43+00:00,Windows,0,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36"
logs_wb01_20171018-access.log,registrar,/schedules,Chrome,104.60.239.237,www.google.com,2017-10-18T04:01:43+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
logs_wb01_20171018-access.log,www,/academics,Chrome,162.228.176.239,www.ucmerced.edu,2017-10-18T04:01:45+00:00,"Chrome OS",0,"Mozilla/5.0 (X11; CrOS armv7l 9592.96.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.114 Safari/537.36"
logs_wb01_20171018-access.log,hsri,/,Chrome,23.94.150.149,hsri.ucmerced.edu,2017-10-18T04:01:48+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36"
logs_wb01_20171018-access.log,hsri,/,Chrome,23.94.150.149,hsri.ucmerced.edu,2017-10-18T04:01:49+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36"
logs_wb01_20171018-access.log,hsri,/,Chrome,23.94.150.149,hsri.ucmerced.edu,2017-10-18T04:01:49+00:00,"Mac OS X",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36"
